82280,81618,1333
167682,166748,1630
167682,169567,838
167682,170334,1825
258303,75406,1684
258303,260573,785
315089,132012,1714
315089,134731,509
393971,210824,1522
393971,214565,986
408554,225427,1578
408554,227586,512
408554,229648,662
473453,159817,1456
497886,184052,1506
497886,186713,998
497886,187214,1204
571183,257262,1942
571183,261638,1590
633954,320081,1853
633954,322347,989
663449,289797,1743
663449,353740,1683
708833,244311,1552
708833,337911,641
708833,339748,1781
760647,296275,1571
815180,350615,1756
815180,353046,683
815180,354052,779
845834,381388,1810
845834,385245,713
888747,337787,1476
888747,426584,853
929035,378023,1413
929035,381554,1615
1027686,476858,1317
1027686,479332,730
1027686,479942,1676
1090979,540204,1070
1179090,451376,1349
1179090,629942,779
1179090,632653,984
1273339,545769,1479
1273339,548737,816
1288054,530084,1631
1288054,562868,626
1362099,456333,1243
1362099,608174,520
1428691,522731,1827
1428691,525125,853
1428691,526622,1807
1444393,538498,1585
1514266,608454,1716
1514266,610991,980
1514266,612100,1000
1595835,525975,1636
1595835,693690,1293
1665903,596158,1589
1665903,598620,890
1690723,620804,1781
1690723,624060,722
1776235,706522,1334
1776235,709219,589
1776235,710152,996
1843054,638787,1613
1868094,663928,1334
1868094,666104,582
1868094,667592,1829
1916909,712784,1490
1916909,716298,1808
1953252,748940,1961
1953252,751000,557
2043092,658442,1417
2043092,843042,1040
2093803,708946,1465
2093803,711294,791
2093803,713179,896
2159793,642126,1786
2209417,691930,1463
2209417,694314,681
2209417,695699,919
2296923,779576,1110
2296923,782291,1245
2349672,725918,1636
2349672,834807,613
2436849,813101,1736
2436849,817669,1450
2461116,837474,1371
2461116,839347,595
2461116,840741,1185
2515341,891897,1193
2572943,833370,1737
2572943,951989,639
2572943,952980,1540
2582943,843755,1062
2582943,847059,1817
2613893,811945,1677
2613893,876259,735
2672282,753703,1512
2672282,873627,1482
2714461,711394,1633
2714461,797843,848
2714461,800394,1780
2756188,753156,1426
2773055,770014,1517
2773055,772338,535
2773055,774029,623
2793495,790672,1358
2793495,794136,896
2843054,740263,1667
2843054,842809,589
2860930,758386,1337
2860930,761191,573
2942640,675960,1601
2942640,842456,567
2942640,843720,885
2988412,721529,1724
3046771,662331,1399
3046771,782361,500
3046771,783619,872
3138117,753541,1876
3138117,757473,1562
3188483,803889,1842
3188483,806523,758
3220741,770945,1679
3220741,841023,919
3243329,793374,1789
3243329,795551,533
3243329,797527,1674
3316129,866143,1396
3331097,881451,1072
3331097,883361,993
3331097,885704,1107
3426241,785524,1393
3426241,980243,547
3524115,687627,1308
3524115,885523,967
3608782,602892,1808
3608782,775892,1957
3627337,621582,1319
3627337,623830,793
3627337,625138,1046
3638491,609755,1364
3663729,635154,1443
3663729,636973,744
3663729,638789,888
3699533,670839,1469
3699533,674596,623
3789209,760149,1891
3789209,762662,854
3855036,693583,1516
3855036,830022,1632
3928109,766547,1464
3928109,768679,684
3928109,770183,1977
4005035,688946,1338
4042070,725740,1623
4042070,727791,719
4042070,730114,1956
4061387,745413,1066
4061387,748416,643
4104132,788146,1209
4104132,790497,847
4201757,689910,1319
4201757,889066,1627
4298097,786194,1633
4298097,787928,699
4298097,789111,1512
4367205,855125,1499
4411693,899805,1548
4411693,902432,631
4411693,904142,1023
4470081,840560,1789
4470081,962604,1478
4503776,874608,1044
4503776,876775,846
4568708,808875,1771
4568708,942710,1827
4602231,775252,1712
4602231,844822,736
4602231,846397,853
4689670,862649,1659
4737961,911311,1561
4737961,913050,864
4737961,914578,1092
4824401,997616,1707
4824401,1001802,514
4916475,904822,1571
4916475,1091535,883
5005659,993754,1682
5005659,997398,770
5025302,1013543,1493
5025302,1016276,718
5025302,1017452,1537
5083337,954881,1495
5135440,1006646,1896
5135440,1009181,635
5135440,1010965,1601
5163001,978455,1256
5163001,1037726,1887
5182656,997964,1432
5182656,1000570,929
5266018,1081443,1324
5266018,1084455,1323
5318438,1028506,1033
5318438,1135607,907
5318438,1138465,1791
5366699,1076440,1710
5407077,1116872,1706
5407077,1119346,622
5407077,1121227,1225
5421303,1101873,1528
5421303,1134606,1494
5478299,1158901,1344
5478299,1160764,505
5576743,1257221,1705
5576743,1261493,1746
5596689,1277345,1598
5596689,1279626,590
5596689,1280593,1206
5610322,1262890,1606
5688603,1341421,1280
5688603,1343245,805
5688603,1345635,1897
5739906,1289224,1636
5739906,1396668,1357
5828084,1377463,1559
5828084,1379732,746
5894740,1310098,1618
5894740,1447945,532
5988947,1404114,1787
5988947,1406552,665
5988947,1408091,1714
6036324,1451503,1553
6124846,1540338,1385
6124846,1542016,960
6124846,1544731,684
6197654,1466688,1620
6197654,1616315,1460
6264829,1534172,1190
6264829,1536605,583
6309931,1488512,1481
6309931,1582341,766
6324306,1502565,1465
6324306,1504461,723
6324306,1507419,984
6412429,1590880,1621
6502388,1500421,1374
6502388,1683055,630
6502388,1684040,1926
6546861,1455866,1524
6546861,1549209,1228
6577621,1486479,1458
6577621,1488583,542
6630538,1539459,1284
6630538,1542393,764
6730497,1438557,1797
6730497,1641916,538
6730497,1643806,1182
6773731,1481984,1486
6790123,1498445,1622
6790123,1500276,515
6790123,1502491,1907
6809461,1517961,1352
6809461,1521816,847
6827191,1499318,1416
6827191,1537900,715
6916259,1588602,1556
6916259,1592177,637
6940769,1563305,1587
6940769,1615117,750
6940769,1617502,770
7027807,1650339,1492
7081389,1596063,1440
7081389,1706289,960
7081389,1707390,1138
7120776,1635452,1607
7120776,1639295,1494
7197128,1558394,1346
7197128,1714295,923
7231442,1592444,1776
7231442,1596968,617
7323260,1684291,1514
7323260,1686547,611
7323260,1688148,607
7362477,1723539,1605
7381838,1703255,1669
7381838,1745425,937
7381838,1746978,698
7438389,1759889,1378
7438389,1763168,1557
7505433,1826976,1379
7505433,1828827,874
7540044,1861727,1369
7540044,1866292,1559
7600911,1799934,1639
7600911,1924533,560
7600911,1927102,521
7614614,1785158,2883
